SAP Customer No.,Original Customer No.
0010010484,FAR009
0010010485,FAR010
0010010486,FAR011
0010010487,FAR012
0010010488,FAR013
0010010489,FAR014
0010010490,FAR015
0010010491,FAR016
0010010492,FAR017
0010010493,FAR018
0010010494,FAR019
0010010495,FAR020
0010010496,FAR021
0010010497,FAR022
0010010498,FAR023
0010010499,FAR024
0010010500,FAR025
0010010501,FAR026
0010010502,FAR027
0010010503,FAR028
0010010504,FAR029
0010010505,FAR030
0010010506,FAR031
0010010507,FAR032
0010010508,FAR033
0010010509,FAR034
0010010510,FAR035
0010010511,FAR036
0010010512,FAR037
0010010513,FAR038
0010010514,FAR039
0010010515,FAR040
0010010516,FAR041
0010010517,FAR042
0010010518,FAR043
0010010519,FAR044
0010010520,FAR045
0010010521,FAR046
0010010522,FAR047
0010010523,FAR049
0010010524,FAR050
0010010525,FAR051
0010010526,FAR052
0010010527,FAR052NR
0010010528,FAR201
0010010529,FAR202
0010010530,FAR203
0010010531,FAR204
0010010532,FAR205
0010010533,FAR206
0010010534,FAR207
0010010535,FAR208
0010010536,FAR209
0010010537,FAR210
0010010538,FAR211
0010010539,FAR212
0010010540,FAR213
0010010541,FAR214
0010010542,FAR215
0010010543,FAR216
0010010544,FAR217
0010010545,FAR218
0010010546,FAR219
0010010547,FAR220
0010010548,FAR221
0010010549,FAR222
0010010550,FAR223
0010010551,FAR224
0010010552,FAR225
0010010553,FAR226
0010010554,FAR227
0010010555,FAR228
0010010556,FAR229
0010010557,FAR230
0010010558,FAR231
0010010559,FAR232
0010010560,FAR233
0010010561,FAR234
0010010562,FAR235
0010010563,FAR236
0010010564,FAR237
0010010565,FAR238
0010010566,FAR239
0010010567,FAR240
0010010568,FAR241
0010010569,FAR242
0010010570,FAR243
0010010571,FAR244
0010010572,FAR245
0010010573,FAR246
0010010574,FAR247
0010010575,FAR249
0010010576,FAR302
0010010578,FIN001
0010010579,FIR001
0010010580,FLE001
0010010581,FRA001
0010010582,FRA002
0010010583,FRA004
0010010584,FRA005
0010010585,FRA006
0010010586,FRA008
0010010589,FRU004
0010010590,FRU006
0010010591,FRU008
0010010592,FRU013
0010010593,FRU018
0010010594,FRU020
0010010595,GIS001
0010010597,GRA003
0010010598,GRO001
0010010599,GRO002  
0010010600,GUB001
0010010601,GVE001
0010010602,HAR004
0010010603,HAR005
0010010604,HAR006
0010010605,HAR007  
0010010606,HAR008  
0010010609,HEA001
0010010610,HOL001
0010010612,HUM000
0010010613,HUM011
0010010614,HUM012
0010010615,HUM021
0010010616,HUM023
0010010617,HUM034
0010010618,HUM035
0010010619,HUM041
0010010620,HUM042
0010010621,HUM043
0010010622,HUM043NR
0010010623,HUM051
0010010624,HUM052
0010010625,HUM053
0010010626,HUM061
0010010627,HUM062
0010010628,HUM063
0010010629,HUM066
0010010630,HUM067
0010010631,HUM069
0010010632,HUM071
0010010633,HUM072
0010010635,HUM241
0010010636,HUMDRA
0010010637,HYN001
0010010638,HYN002
0010010639,HYN003
0010010640,HYN005
0010010641,HYN006
0010010642,HYN007
0010010643,HYN008
0010010644,HYN010
0010010645,HYN011
0010010646,HYN014
0010010647,HYN015
0010010648,HYN016
0010010649,HYN017
0010010650,HYN020
0010010652,HYN041
0010010653,HYN105
0010010654,HYN107
0010010655,HYN111
0010010656,HYN118
0010010657,HYN140
0010010658,HYN150
0010010659,HYN170
0010010660,HYN325
0010010661,HYN330
0010010662,HYN331
0010010663,HYN415
0010010664,HYN418
0010010665,HYN419
0010010666,HYN420
0010010667,HYN430
0010010668,HYN441
0010010669,HYN445
0010010670,HYN475
0010010671,HYN478
0010010672,HYN604
0010010673,IDE001
0010010674,IDE272
0010010675,IND003
0010010677,IRR003
0010010678,IRR005
0010010679,IRR007
0010010680,IRR008
0010010681,IRR010  
0010010682,ISA001  
0010010683,ITM301  
0010010684,ITM331
0010010685,ITM342
0010010686,ITM378
0010010687,ITM390
0010010688,ITM392
0010010690,ITM408
0010010691,ITM409
0010010692,ITM412
0010010693,ITM437
0010010694,ITM440
0010010695,ITM453
0010010696,ITM471
0010010697,ITM481  
0010010698,ITM483
0010010699,ITM487
0010010700,ITM494  
0010010701,JEC001  
0010010702,KEI002
0010010704,KIR001
0010010705,KIW001
0010010706,KLI001
0010010707,LAR001
0010010708,LIF001
0010010709,LIQ001
0010010710,LOR001
0010010711,MAC001
0010010712,MAR001
0010010713,MAR002
0010010714,MET003
0010010715,MHV001  
0010010716,MIC002
0010010717,MIC003
0010010718,MIC006
0010010719,MIC010
0010010720,MIC015
0010010721,MIC017
0010010722,MIC018
0010010723,MIC020
0010010724,MIC021
0010010725,MIC026
0010010726,MIC027
0010010727,MIC033
0010010728,MIC034
0010010729,MIC035
0010010730,MIC038
0010010731,MIC040
0010010732,MIC048  
0010010733,MIC055
0010010734,MIC058
0010010737,MIC062
0010010738,MIC063
0010010739,MIC064
0010010740,MIC065
0010010741,MIC066
0010010742,MIC067
0010010743,MIC068
0010010744,MIC069NR
0010010745,MIC070
0010010746,MIC074
0010010747,MIC077
0010010748,MIC078  
0010010749,MIC079  
0010010750,MIC080
0010010751,MIC081
0010010752,MIC082
0010010753,MIC083
0010010754,MIC084
0010010755,MIC085
0010010756,MIC087
0010010757,MIC092
0010010759,MIC093
0010010760,MIC094  
0010010761,MIC201
0010010762,MIC211
0010010763,MIC223
0010010764,MIC224
0010010765,MIC228
0010010766,MIC229
0010010767,MIC281
0010010768,MIC289
0010010769,MIC291
0010010770,MIC294
0010010771,MIC297
0010010772,MIC299
0010010773,MIC303
0010010774,MIC313
0010010775,MIC317
0010010776,MIC321
0010010777,MIC324
0010010778,MIC327
0010010779,MIC329
0010010780,MIC339
0010010781,MIC341
0010010782,MIC343
0010010784,MIC367
0010010785,MIC379
0010010786,MIC383
0010010787,MIC388
0010010788,MIC391
0010010789,MIC995
0010010790,MIT001
0010010791,MIT002
0010010792,MIT011  
0010010793,MIT014
0010010794,MIT015
0010010795,MIT016
0010010796,MIT017
0010010797,MIT018
0010010798,MIT019
0010010799,MIT021
0010010800,MIT022
0010010801,MIT023  
0010010802,MIT032
0010010803,MIT100
0010010804,MYP001
0010010805,NEV001
0010010806,NOR001
0010010808,OAK001
0010010809,OAK002
0010010810,OAK003  
0010010811,OAK004  
0010010812,OBR001
0010010813,OBR002
0010010814,OBR003
0010010815,OBR004
0010010816,OBR005
0010010817,OBR007
0010010818,OBR008
0010010821,OPO001
0010010822,ORD001
0010010824,OTA001
0010010825,PAR002
0010010827,PDC001
0010010828,PGG001
0010010829,PGG002
0010010830,PGG003
0010010831,PGG004
0010010832,PGG005
0010010833,PGG006
0010010834,PGG009
0010010835,PGG011
0010010836,PGG012
0010010837,PGG013
0010010838,PGG015
0010010839,PGG016
0010010840,PGG017
0010010841,PGG020
0010010842,PGG021
0010010843,PGG023
0010010844,PGG024
0010010845,PGG026
0010010846,PGG027
0010010847,PGG028
0010010848,PGG029
0010010849,PGG030
0010010850,PGG031
0010010851,PGG032
0010010852,PGG033
0010010853,PGG034  
0010010856,PGG045
0010010859,PGG057  
0010010860,PGG065
0010010861,PGG066
0010010862,PGG067
0010010863,PGG068
0010010864,PGG106
0010010865,PGG113
0010010866,PGG410
0010010867,PGG772
0010010868,PGO001
0010010870,PIP004
0010010871,PIV001
0010010872,PLA000
0010010873,PLA002
0010010874,PLA004
0010010875,PLA005
0010010876,PLA011
0010010877,PLA012
0010010000,PLA013
0010010001,PLA019
0010010002,PLA025
0010010003,PLA026
0010010004,PLA027
0010010005,PLA031
0010010006,PLA033
0010010007,PLA102
0010010008,PLA146
0010010009,PLA150
0010010010,PLA151
0010010011,PLA162
0010010012,PLA163
0010010013,PLA165
0010010014,PLA171
0010010015,PLA173
0010010016,PLA175
0010010017,PLA176
0010010018,PLA179
0010010019,PLA183
0010010020,PLA185
0010010021,PLA186
0010010023,PLA191
0010010024,PLA195
0010010026,PLA221
0010010028,PLA258
0010010029,PLA262
0010010030,PLA263
0010010031,PLA265
0010010032,PLA266
0010010033,PLA281
0010010034,PLA283
0010010035,PLA285
0010010036,PLA288
0010010037,PLA289
0010010038,PLA292
0010010039,PLA293
0010010040,PLA313
0010010041,PLA362
0010010042,PLA363
0010010043,PLA365
0010010044,PLA368
0010010045,PLA369
0010010046,PLA373
0010010047,PLA377
0010010048,PLA382
0010010049,PLA385
0010010050,PLA387  
0010010051,PLA415
0010010052,PLA416
0010010053,PLA427
0010010054,PLA439
0010010055,PLA463
0010010056,PLA471
0010010057,PLA479
0010010059,PLA482
0010010060,PLA488
0010010061,PLA499
0010010062,PLA512
0010010063,PLU013
0010010064,PLU014  
0010010065,PLU015
0010010066,PLU016
0010010067,PLU017
0010010068,PLU018
0010010069,PLU019
0010010070,PLU020
0010010071,PLU021  
0010010072,PLU023
0010010073,PLU024
0010010074,PLU025
0010010075,PLU026
0010010076,PLU027
0010010077,PLU028
0010010078,PLU030
0010010079,PLU032  
0010010080,PLU033
0010010081,PLU034
0010010082,PLU035
0010010083,PLU036
0010010084,PLU037
0010010085,PLU038
0010010086,PLU040
0010010088,PLU043
0010010089,PLU045
0010010090,PLU046
0010010091,PLU050
0010010092,PLU052
0010010093,PLU055
0010010094,PLU056
0010010095,PLU057
0010010096,PLU060
0010010097,PLU065
0010010098,PLU070
0010010099,PLU071  
0010010100,PLU072
0010010101,PLU079
0010010102,PLU080
0010010103,PLU081
0010010104,PLU085
0010010105,PLU086
0010010106,PLU088
0010010107,PLU090
0010010108,PLU091
0010010109,PLU092  
0010010110,PLU093
0010010111,PLU095
0010010112,PLU100
0010010113,PLU200
0010010114,POW001
0010010115,PUM001
0010010116,PUM002
0010010117,PUM003
0010010118,PVC001  
0010010119,QUB002
0010010120,QWS001
0010010121,RAD001
0010010137,RAI001
0010010138,RAI004  
0010010140,RAY001
0010010141,RD1002
0010010142,RD1003
0010010143,RD1005
0010010144,RD1007
0010010145,RD1009
0010010146,RD1010
0010010147,RD1011
0010010148,RD1012
0010010149,RD1013
0010010150,RD1014
0010010151,RD1015
0010010152,RD1016
0010010153,RD1017
0010010154,RD1018
0010010155,RD1019
0010010156,RD1020
0010010157,RD1021
0010010158,RD1023
0010010159,RD1024
0010010160,RD1025
0010010161,RD1025NR
0010010162,RD1029
0010010163,RD1030
0010010164,RD1032
0010010165,RD1033
0010010166,RD1033NR
0010010168,RD1103
0010010169,RD1107
0010010170,RD1108
0010010171,RD1111
0010010172,RD1113
0010010173,RD1114
0010010174,RD1115
0010010175,RD1116
0010010176,RD1117
0010010177,RD1120
0010010178,RD1124
0010010179,RD1132
0010010180,RD1205
0010010181,RD1209
0010010182,RD1213
0010010183,RD1220
0010010184,RD1223
0010010185,RD1224
0010010186,RD1225
0010010187,RD1226
0010010188,RD1229
0010010189,RD1230
0010010190,RD1235
0010010191,RD1236
0010010192,RD1240
0010010193,RD1242
0010010194,RD1244
0010010195,RD1248
0010010196,RD1250
0010010197,RD1251
0010010198,RD1252
0010010199,RD1253
0010010200,RD1254
0010010201,RD1255
0010010202,RD1256
0010010203,RD1262
0010010204,RD1264
0010010205,RD1276
0010010206,RD1280
0010010207,RD1284
0010010208,RD1290
0010010209,RD1293
0010010210,RD1294
0010010211,RED002
0010010212,RED004
0010010213,RED005
0010010214,RED006
0010010215,REE1001
0010010216,REE1004
0010010217,REE1005
0010010218,REE1006
0010010219,REE1007
0010010220,REE1008
0010010221,REE1010
0010010222,REE1011
0010010223,REE1012
0010010224,REE1014
0010010237,RFS001
0010010238,ROB001  
0010010239,ROC001
0010010240,ROC002
0010010241,ROS001
0010010242,RUA002
0010010243,RUA003
0010010244,RUS000
0010010245,RUS002
0010010246,RUS003
0010010247,RUS005
0010010248,RUS008
0010010249,RUS009
0010010250,RUS011
0010010251,RUS012
0010010252,RUS014
0010010253,RUS015
0010010306,SHA001
0010010308,SHO001
0010010309,SKE234
0010010310,SOU001
0010010311,SOU002
0010010312,SOU003  
0010010314,STE030
0010010315,STE031
0010010316,STE032
0010010317,STE035
0010010318,STE036
0010010319,STE040
0010010320,STO001
0010010321,STR001
0010010322,STR003
0010010323,SUS001
0010010324,TAN001
0010010325,TDE001  
0010010326,TEC001
0010010327,TEC002
0010010328,TEN004
0010010329,TEN005
0010010330,TEN006
0010010331,TEN007
0010010332,TEN008
0010010333,TEN009
0010010334,TEN012
0010010335,TEN014
0010010336,TEN016
0010010337,TEN017
0010010338,THI001
0010010339,THI003  
0010010341,TIC001
0010010342,TOT002
0010010343,TRA001
0010010344,TRE001  
0010010345,TUR002
0010010346,UNI004
0010010347,UPG001
0010010348,VES001
0010010349,WAI002  
0010010350,WAN001
0010010351,WAT002
0010010352,WAT005  
0010010353,WAT012
0010010354,WAT019
0010010355,WAT020
0010010356,WAT023
0010010357,WAT024
0010010358,WAT025
0010010359,WAT026
0010010360,WAT027
0010010361,WAT028
0010010362,WAT029
0010010363,WAT030
0010010364,WAT031
0010010365,WAT034
0010010366,WAT035
0010010367,WAT036
0010010368,WAT037
0010010369,WAT060
0010010370,WAT061
0010010371,WES003
0010010372,WOM001
0010010373,WRI301
0010010374,WRI302
0010010375,WRI303
0010010376,WRI304
0010010377,WRI305
0010010378,WRI306
0010010379,WRI307
0010010380,WRI309
0010010381,WRI312
0010010382,WRI313
0010010383,WRI314
0010010384,WRI317
0010010385,WRI321
0010010386,WRI322
0010010387,WRI323
0010010388,WRI324
0010010389,WRI325
0010010390,WRI326
0010010391,WRI327
0010010392,WRI328
0010010393,WRI329
0010010394,WRI330
0010010395,WRI331
0010010396,WRI332
0010010397,WRI361
0010010398,WRI362
0010010399,WRI363
0010010400,WRI364
0010010401,WRI365
0010010402,WRI366
0010010403,WRI367
0010010404,WRI369
0010010405,WRI370
0010010406,WRI371
0010010407,WRI373
0010010408,WRI375
0010010409,WRI376
0010010410,WRI378
0010010411,WRI379
0010010412,WRI381
0010010413,WRI382
0010010414,WRI383
0010010415,WRI385
0010010416,WRI386
0010010417,WRI389
0010010418,WRI391
0010010419,WRI392
0010010420,WRI393
0010010421,WRI394
0010010422,WRI396
0010010423,ZIP001
0010010424,ZIP002
0010010425,ZIP003
0010010426,ZIP004
0010010427,ZIP005
0010010428,ZIP006
0010010429,ZIP008
0010010430,ZIP009
0010010431,ZIP011
0010010432,ZIP012
0010010433,ZIP014
0010010434,ZIP015
0010010435,ZIP016
0010010436,ZIP017
0010010437,ZIP019
0010010438,ZIP020  
0010010439,ZIP021
0010010440,ZIP106
