Original Customer No.,SAP Customer No.
10011013,0010011013
10011014,0010011014
10011015,0010011015
10011016,0010011016
10011017,0010011017
10011018,0010011018
10011019,0010011019
10011020,0010011020
10011021,0010011021
10011022,0010011022
10011024,0010011024
10011025,0010011025
10011026,0010011026
10011027,0010011027
10011028,0010011028
10011029,0010011029
10011030,0010011030
10011031,0010011031
10011032,0010011032
10011033,0010011033
10011034,0010011034
10011035,0010011035
10011036,0010011036
10011037,0010011037
10011038,0010011038
10011040,0010011040
10011042,0010011042
10011043,0010011043
10011044,0010011044
10011045,0010011045
10011046,0010011046
10011047,0010011047
10011048,0010011048
10011049,0010011049
10011050,0010011050
10011051,0010011051
10011052,0010011052
10011053,0010011053
10011054,0010011054
10011055,0010011055
10011056,0010011056
10011057,0010011057
10011058,0010011058
10011059,0010011059
10011060,0010011060
10011061,0010011061
10011062,0010011062
10011063,0010011063
10011064,0010011064
10011065,0010011065
10011066,0010011066
10011067,0010011067
10011068,0010011068
10011069,0010011069
10011070,0010011070
10011071,0010011071
10011072,0010011072
10011073,0010011073
10011074,0010011074
10011075,0010011075
10011076,0010011076
10011078,0010011078
10011079,0010011079
10011080,0010011080
10011081,0010011081
10011082,0010011082
10011083,0010011083
10011084,0010011084
10011085,0010011085
10011086,0010011086
10011087,0010011087
10011088,0010011088
10011089,0010011089
10011090,0010011090
10011091,0010011091
10011092,0010011092
10011093,0010011093
10011094,0010011094
10011095,0010011095
10011096,0010011096
10011097,0010011097
10011098,0010011098
10011099,0010011099
10011100,0010011100
10011101,0010011101
10011102,0010011102
10011103,0010011103
10011104,0010011104
10011105,0010011105
10011106,0010011106
10011107,0010011107
10011108,0010011108
10011109,0010011109
10011110,0010011110
10011111,0010011111
10011112,0010011112
10011113,0010011113
10011114,0010011114
10011115,0010011115
10011116,0010011116
10011117,0010011117
10011118,0010011118
10010441,0010010441
10010442,0010010442
10010443,0010010443
10010444,0010010444
10010445,0010010445
10010446,0010010446
10010447,0010010447
10010448,0010010448
10010449,0010010449
10010450,0010010450
10010451,0010010451
10010452,0010010452
10010453,0010010453
10010454,0010010454
10010455,0010010455
10010456,0010010456
10010457,0010010457
10010458,0010010458
10010459,0010010459
10010460,0010010460
10010461,0010010461
10010462,0010010462
10010463,0010010463
10010464,0010010464
10010466,0010010466
10010467,0010010467
10010468,0010010468
10010469,0010010469
10010470,0010010470
10010471,0010010471
10010472,0010010472
10010473,0010010473
10010474,0010010474
10010475,0010010475
10010476,0010010476
10010477,0010010477
10010478,0010010478
10010479,0010010479
10010480,0010010480
10010481,0010010481
10010482,0010010482
10010483,0010010483
10010484,0010010484
10010485,0010010485
10010486,0010010486
10010487,0010010487
10010488,0010010488
10010489,0010010489
10010490,0010010490
10010491,0010010491
10010492,0010010492
10010493,0010010493
10010494,0010010494
10010495,0010010495
10010496,0010010496
10010497,0010010497
10010498,0010010498
10010499,0010010499
10010500,0010010500
10010501,0010010501
10010502,0010010502
10010503,0010010503
10010504,0010010504
10010505,0010010505
10010506,0010010506
10010507,0010010507
10010508,0010010508
10010509,0010010509
10010510,0010010510
10010511,0010010511
10010512,0010010512
10010513,0010010513
10010514,0010010514
10010515,0010010515
10010516,0010010516
10010517,0010010517
10010518,0010010518
10010519,0010010519
10010520,0010010520
10010521,0010010521
10010522,0010010522
10010523,0010010523
10010524,0010010524
10010525,0010010525
10010526,0010010526
10010527,0010010527
10010528,0010010528
10010529,0010010529
10010530,0010010530
10010531,0010010531
10010532,0010010532
10010533,0010010533
10010534,0010010534
10010535,0010010535
10010536,0010010536
10010537,0010010537
10010538,0010010538
10010539,0010010539
10010540,0010010540
10010541,0010010541
10010542,0010010542
10010543,0010010543
10010544,0010010544
10010545,0010010545
10010546,0010010546
10010547,0010010547
10010548,0010010548
10010549,0010010549
10010550,0010010550
10010551,0010010551
10010552,0010010552
10010553,0010010553
10010554,0010010554
10010555,0010010555
10010556,0010010556
10010557,0010010557
10010558,0010010558
10010559,0010010559
10010560,0010010560
10010561,0010010561
10010562,0010010562
10010563,0010010563
10010564,0010010564
10010565,0010010565
10010566,0010010566
10010567,0010010567
10010568,0010010568
10010569,0010010569
10010570,0010010570
10010571,0010010571
10010572,0010010572
10010573,0010010573
10010574,0010010574
10010575,0010010575
10010576,0010010576
10010578,0010010578
10010579,0010010579
10010580,0010010580
10010581,0010010581
10010582,0010010582
10010583,0010010583
10010584,0010010584
10010585,0010010585
10010586,0010010586
10010589,0010010589
10010590,0010010590
10010591,0010010591
10010592,0010010592
10010593,0010010593
10010594,0010010594
10010595,0010010595
10010597,0010010597
10010598,0010010598
10010599,0010010599
10010600,0010010600
10010601,0010010601
10010602,0010010602
10010603,0010010603
10010604,0010010604
10010605,0010010605
10010606,0010010606
10010609,0010010609
10010610,0010010610
10010612,0010010612
10010613,0010010613
10010614,0010010614
10010615,0010010615
10010616,0010010616
10010617,0010010617
10010618,0010010618
10010619,0010010619
10010620,0010010620
10010621,0010010621
10010622,0010010622
10010623,0010010623
10010624,0010010624
10010625,0010010625
10010626,0010010626
10010627,0010010627
10010628,0010010628
10010629,0010010629
10010630,0010010630
10010631,0010010631
10010632,0010010632
10010633,0010010633
10010635,0010010635
10010636,0010010636
10010637,0010010637
10010638,0010010638
10010639,0010010639
10010640,0010010640
10010641,0010010641
10010642,0010010642
10010643,0010010643
10010644,0010010644
10010645,0010010645
10010646,0010010646
10010647,0010010647
10010648,0010010648
10010649,0010010649
10010650,0010010650
10010652,0010010652
10010653,0010010653
10010654,0010010654
10010655,0010010655
10010656,0010010656
10010657,0010010657
10010658,0010010658
10010659,0010010659
10010660,0010010660
10010661,0010010661
10010662,0010010662
10010663,0010010663
10010664,0010010664
10010665,0010010665
10010666,0010010666
10010667,0010010667
10010668,0010010668
10010669,0010010669
10010670,0010010670
10010671,0010010671
10010672,0010010672
10010673,0010010673
10010674,0010010674
10010675,0010010675
10010677,0010010677
10010678,0010010678
10010679,0010010679
10010680,0010010680
10010681,0010010681
10010682,0010010682
10010683,0010010683
10010684,0010010684
10010685,0010010685
10010686,0010010686
10010687,0010010687
10010688,0010010688
10010690,0010010690
10010691,0010010691
10010692,0010010692
10010693,0010010693
10010694,0010010694
10010695,0010010695
10010696,0010010696
10010697,0010010697
10010698,0010010698
10010699,0010010699
10010700,0010010700
10010701,0010010701
10010702,0010010702
10010704,0010010704
10010705,0010010705
10010706,0010010706
10010707,0010010707
10010708,0010010708
10010709,0010010709
10010710,0010010710
10010711,0010010711
10010712,0010010712
10010713,0010010713
10010714,0010010714
10010715,0010010715
10010716,0010010716
10010717,0010010717
10010718,0010010718
10010719,0010010719
10010720,0010010720
10010721,0010010721
10010722,0010010722
10010723,0010010723
10010724,0010010724
10010725,0010010725
10010726,0010010726
10010727,0010010727
10010728,0010010728
10010729,0010010729
10010730,0010010730
10010731,0010010731
10010732,0010010732
10010733,0010010733
10010734,0010010734
10010737,0010010737
10010738,0010010738
10010739,0010010739
10010740,0010010740
10010741,0010010741
10010742,0010010742
10010743,0010010743
10010744,0010010744
10010745,0010010745
10010746,0010010746
10010747,0010010747
10010748,0010010748
10010749,0010010749
10010750,0010010750
10010751,0010010751
10010752,0010010752
10010753,0010010753
10010754,0010010754
10010755,0010010755
10010756,0010010756
10010757,0010010757
10010759,0010010759
10010760,0010010760
10010761,0010010761
10010762,0010010762
10010763,0010010763
10010764,0010010764
10010765,0010010765
10010766,0010010766
10010767,0010010767
10010768,0010010768
10010769,0010010769
10010770,0010010770
10010771,0010010771
10010772,0010010772
10010773,0010010773
10010774,0010010774
10010775,0010010775
10010776,0010010776
10010777,0010010777
10010778,0010010778
10010779,0010010779
10010780,0010010780
10010781,0010010781
10010782,0010010782
10010784,0010010784
10010785,0010010785
10010786,0010010786
10010787,0010010787
10010788,0010010788
10010789,0010010789
10010790,0010010790
10010791,0010010791
10010792,0010010792
10010793,0010010793
10010794,0010010794
10010795,0010010795
10010796,0010010796
10010797,0010010797
10010798,0010010798
10010799,0010010799
10010800,0010010800
10010801,0010010801
10010802,0010010802
10010803,0010010803
10010804,0010010804
10010805,0010010805
10010806,0010010806
10010808,0010010808
10010809,0010010809
10010810,0010010810
10010811,0010010811
10010812,0010010812
10010813,0010010813
10010814,0010010814
10010815,0010010815
10010816,0010010816
10010817,0010010817
10010818,0010010818
10010821,0010010821
10010822,0010010822
10010824,0010010824
10010825,0010010825
10010827,0010010827
10010828,0010010828
10010829,0010010829
10010830,0010010830
10010831,0010010831
10010832,0010010832
10010833,0010010833
10010834,0010010834
10010835,0010010835
10010836,0010010836
10010837,0010010837
10010838,0010010838
10010839,0010010839
10010840,0010010840
10010841,0010010841
10010842,0010010842
10010843,0010010843
10010844,0010010844
10010845,0010010845
10010846,0010010846
10010847,0010010847
10010848,0010010848
10010849,0010010849
10010850,0010010850
10010851,0010010851
10010852,0010010852
10010853,0010010853
10010856,0010010856
10010859,0010010859
10010860,0010010860
10010861,0010010861
10010862,0010010862
10010863,0010010863
10010864,0010010864
10010865,0010010865
10010866,0010010866
10010867,0010010867
10010868,0010010868
10010870,0010010870
10010871,0010010871
10010872,0010010872
10010873,0010010873
10010874,0010010874
10010875,0010010875
10010876,0010010876
10010877,0010010877
10010000,0010010000
10010001,0010010001
10010002,0010010002
10010003,0010010003
10010004,0010010004
10010005,0010010005
10010006,0010010006
10010007,0010010007
10010008,0010010008
10010009,0010010009
10010010,0010010010
10010011,0010010011
10010012,0010010012
10010013,0010010013
10010014,0010010014
10010015,0010010015
10010016,0010010016
10010017,0010010017
10010018,0010010018
10010019,0010010019
10010020,0010010020
10010021,0010010021
10010023,0010010023
10010024,0010010024
10010026,0010010026
10010028,0010010028
10010029,0010010029
10010030,0010010030
10010031,0010010031
10010032,0010010032
10010033,0010010033
10010034,0010010034
10010035,0010010035
10010036,0010010036
10010037,0010010037
10010038,0010010038
10010039,0010010039
10010040,0010010040
10010041,0010010041
10010042,0010010042
10010043,0010010043
10010044,0010010044
10010045,0010010045
10010046,0010010046
10010047,0010010047
10010048,0010010048
10010049,0010010049
10010050,0010010050
10010051,0010010051
10010052,0010010052
10010053,0010010053
10010054,0010010054
10010055,0010010055
10010056,0010010056
10010057,0010010057
10010059,0010010059
10010060,0010010060
10010061,0010010061
10010062,0010010062
10010063,0010010063
10010064,0010010064
10010065,0010010065
10010066,0010010066
10010067,0010010067
10010068,0010010068
10010069,0010010069
10010070,0010010070
10010071,0010010071
10010072,0010010072
10010073,0010010073
10010074,0010010074
10010075,0010010075
10010076,0010010076
10010077,0010010077
10010078,0010010078
10010079,0010010079
10010080,0010010080
10010081,0010010081
10010082,0010010082
10010083,0010010083
10010084,0010010084
10010085,0010010085
10010086,0010010086
10010088,0010010088
10010089,0010010089
10010090,0010010090
10010091,0010010091
10010092,0010010092
10010093,0010010093
10010094,0010010094
10010095,0010010095
10010096,0010010096
10010097,0010010097
10010098,0010010098
10010099,0010010099
10010100,0010010100
10010101,0010010101
10010102,0010010102
10010103,0010010103
10010104,0010010104
10010105,0010010105
10010106,0010010106
10010107,0010010107
10010108,0010010108
10010109,0010010109
10010110,0010010110
10010111,0010010111
10010112,0010010112
10010113,0010010113
10010114,0010010114
10010115,0010010115
10010116,0010010116
10010117,0010010117
10010118,0010010118
10010119,0010010119
10010120,0010010120
10010121,0010010121
10010137,0010010137
10010138,0010010138
10010140,0010010140
10010141,0010010141
10010142,0010010142
10010143,0010010143
10010144,0010010144
10010145,0010010145
10010146,0010010146
10010147,0010010147
10010148,0010010148
10010149,0010010149
10010150,0010010150
10010151,0010010151
10010152,0010010152
10010153,0010010153
10010154,0010010154
10010155,0010010155
10010156,0010010156
10010157,0010010157
10010158,0010010158
10010159,0010010159
10010160,0010010160
10010161,0010010161
10010162,0010010162
10010163,0010010163
10010164,0010010164
10010165,0010010165
10010166,0010010166
10010168,0010010168
10010169,0010010169
10010170,0010010170
10010171,0010010171
10010172,0010010172
10010173,0010010173
10010174,0010010174
10010175,0010010175
10010176,0010010176
10010177,0010010177
10010178,0010010178
10010179,0010010179
10010180,0010010180
10010181,0010010181
10010182,0010010182
10010183,0010010183
10010184,0010010184
10010185,0010010185
10010186,0010010186
10010187,0010010187
10010188,0010010188
10010189,0010010189
10010190,0010010190
10010191,0010010191
10010192,0010010192
10010193,0010010193
10010194,0010010194
10010195,0010010195
10010196,0010010196
10010197,0010010197
10010198,0010010198
10010199,0010010199
10010200,0010010200
10010201,0010010201
10010202,0010010202
10010203,0010010203
10010204,0010010204
10010205,0010010205
10010206,0010010206
10010207,0010010207
10010208,0010010208
10010209,0010010209
10010210,0010010210
10010211,0010010211
10010212,0010010212
10010213,0010010213
10010214,0010010214
10010215,0010010215
10010216,0010010216
10010217,0010010217
10010218,0010010218
10010219,0010010219
10010220,0010010220
10010221,0010010221
10010222,0010010222
10010223,0010010223
10010224,0010010224
10010237,0010010237
10010238,0010010238
10010239,0010010239
10010240,0010010240
10010241,0010010241
10010242,0010010242
10010243,0010010243
10010244,0010010244
10010245,0010010245
10010246,0010010246
10010247,0010010247
10010248,0010010248
10010249,0010010249
10010250,0010010250
10010251,0010010251
10010252,0010010252
10010253,0010010253
10010306,0010010306
10010308,0010010308
10010309,0010010309
10010310,0010010310
10010311,0010010311
10010312,0010010312
10010314,0010010314
10010315,0010010315
10010316,0010010316
10010317,0010010317
10010318,0010010318
10010319,0010010319
10010320,0010010320
10010321,0010010321
10010322,0010010322
10010323,0010010323
10010324,0010010324
10010325,0010010325
10010326,0010010326
10010327,0010010327
10010328,0010010328
10010329,0010010329
10010330,0010010330
10010331,0010010331
10010332,0010010332
10010333,0010010333
10010334,0010010334
10010335,0010010335
10010336,0010010336
10010337,0010010337
10010338,0010010338
10010339,0010010339
10010341,0010010341
10010342,0010010342
10010343,0010010343
10010344,0010010344
10010345,0010010345
10010346,0010010346
10010347,0010010347
10010348,0010010348
10010349,0010010349
10010350,0010010350
10010351,0010010351
10010352,0010010352
10010353,0010010353
10010354,0010010354
10010355,0010010355
10010356,0010010356
10010357,0010010357
10010358,0010010358
10010359,0010010359
10010360,0010010360
10010361,0010010361
10010362,0010010362
10010363,0010010363
10010364,0010010364
10010365,0010010365
10010366,0010010366
10010367,0010010367
10010368,0010010368
10010369,0010010369
10010370,0010010370
10010371,0010010371
10010372,0010010372
10010373,0010010373
10010374,0010010374
10010375,0010010375
10010376,0010010376
10010377,0010010377
10010378,0010010378
10010379,0010010379
10010380,0010010380
10010381,0010010381
10010382,0010010382
10010383,0010010383
10010384,0010010384
10010385,0010010385
10010386,0010010386
10010387,0010010387
10010388,0010010388
10010389,0010010389
10010390,0010010390
10010391,0010010391
10010392,0010010392
10010393,0010010393
10010394,0010010394
10010395,0010010395
10010396,0010010396
10010397,0010010397
10010398,0010010398
10010399,0010010399
10010400,0010010400
10010401,0010010401
10010402,0010010402
10010403,0010010403
10010404,0010010404
10010405,0010010405
10010406,0010010406
10010407,0010010407
10010408,0010010408
10010409,0010010409
10010410,0010010410
10010411,0010010411
10010412,0010010412
10010413,0010010413
10010414,0010010414
10010415,0010010415
10010416,0010010416
10010417,0010010417
10010418,0010010418
10010419,0010010419
10010420,0010010420
10010421,0010010421
10010422,0010010422
10010423,0010010423
10010424,0010010424
10010425,0010010425
10010426,0010010426
10010427,0010010427
10010428,0010010428
10010429,0010010429
10010430,0010010430
10010431,0010010431
10010432,0010010432
10010433,0010010433
10010434,0010010434
10010435,0010010435
10010436,0010010436
10010437,0010010437
10010438,0010010438
10010439,0010010439
10010440,0010010440
